Nome Feed,Descrizione,Data Creazione,Handle Creator,Follower Creator,Like Totali,Giorni Vita
(Defasado) Pixelart BR,Este feed está defasado. Use este no lugar. https://bsky.app/profile/did:plc:q4aslxnokahiw2c7jtrcqeyy/feed/aaacjdvv4nqaw,2026-01-14 02:34:40.032,gors.bsky.social,4278,159,2
勝デ,"勝デ(勝デ、💥🥦、勝ﾃﾞ、かつでく、かちゅで、KTDK、ktdk、カチデ)のみ
逆、別カプは含みません(新種を見かけたらミュートしていきます)
リプは含みません(長い作品は1ポスト目にカプ名を入れてくださいますと反映されます)",2026-01-13 14:05:38.837,ayumeshi.bsky.social,58,158,3
HELLUVA BOSS,"Custom feed for HelluvaBoss fans! Stuff included are Helluva Boss, Blitzo, Fizzarolli, Robo Fizz/RoboFizz, HelluvaBossOC, ImpSona, Beelzebub, Chazwick Thurman, Stolitz and Stolas",2026-01-07 10:32:06.533,k-es-tressier.bsky.social,319,156,9
Arachnophiles,"Pictures of spiders and other arachnids. If you're afraid or don't like them, no need to let us know!",2026-01-08 09:42:24.236,blueappaloosa.bsky.social,5241,149,8
Discover Hypnosis Art,"A feed based on Viltai's megathread and MissingTexture's Hypno Artist starter pack. Ideally, it pulls hypnosis art specifically from all these lovely artists. The feed is curated by @missmilkou so If you want to be excluded or included please reach out ot me via DM <3
No Ai art",2026-01-06 18:31:39.336,missmilkou.bsky.social,2085,134,9
Critical AI & Tech,"A spectrum of academic researchers, activists, policy makers, artists, and writers with critical perspectives on AI and technology. No Xrisk posts are included. 

Managed (but not moderated) by @eryk.bsky.social. 

Reply to the pinned post here if you’d like to be added.

BlueskyFeedCreator.com",2026-01-12 01:07:45.028,eryk.bsky.social,12807,129,4
Figure Skating,"For all discussion related to the sport of figure skating. 

Simply use the ⛸️ emoji in your post and it will show up in this feed. Also pulls in posts with event hashtags!",2026-01-13 08:15:54.431,reenieonice.bsky.social,675,128,3
刀剣乱舞　公式絵師様,"刀剣乱舞の公式イラストレーター様のフィードです。

リストは以下
https://bsky.app/profile/did:plc:32lvtsygorsogim3me53ymkm/lists/3kkv6l3d7in2b


【不具合報告】
以下までお気軽にお願いします。
https://wavebox.me/wave/82exk7efx2qi6v4n/


【お知らせ】
2026/01/14　新刀剣男士実装に伴い追加しました。



刀剣乱舞
とうらぶ
絵師
イラストレーター",2026-01-14 11:57:44.128,810suzukaze.bsky.social,46,124,2
狂聡FEED,"狂聡feed
狂聡FEEDです。映画のみ原作未読、二次創作・BL・腐を嗜まない方には非推奨です。
現在捕捉する単語は
「狂聡|聡み|狂児|聡実|サトミくん|ｷｮｼﾞ|ｻﾄﾐくん|ｶｼﾗﾎｻ|カシラホサ|きょさと|キョサト|ｷｮｻﾄ|🚬🍓|狂ジ|聡ミくん|狂じ|キョジ|パフェ児」
（2026/1/10発生していた軽微な問題をできる範囲で修正、「パフェ児」を追加）",2026-01-09 23:14:10.531,wara.bsky.social,217,112,6
🐾 New videos 🌙,"Furry
Latest NSFW video posts by furries across Bluesky. Contains only NSFW content.

Join the furry feeds by following @furryli.st",2026-01-10 13:29:53.233,furryli.st,67370,111,6
Flesh and Blood TCG,"A fan-made feed for Legend Story Studios' wonderful creation Flesh and Blood TCG.

This feed is an effort to capture all the relevant search terms and hashtags that may come about. Please reach out if you have any feedback/questions!",2026-01-14 22:32:20.231,cherren.bsky.social,299,110,1
Cricket,Custom feed related to the sport cricket. posts will appear if 🏏or #cricket is used,2026-01-14 15:05:46.951,cookieduh.xyz,1372,108,1
🐾 New videos,"Furry
Latest video posts by furries across Bluesky. Contains a mix of SFW and NSFW content.

Join the furry feeds by following @furryli.st",2026-01-10 13:29:56.031,furryli.st,67368,108,6
Videojuegos,"Feed de habla hispana que incluye contenido relacionados con el mundo de los videojuegos. Puede incluir contenido sensible.

Utiliza #NoFeed para excluir tu post.",2026-01-09 15:20:41.834,fran.pw,2214,105,6
Sheith,"Feed for tracking Sheith community content from Voltron. 

Picks up any post containing the word ""sheith"" but not ""anti"" and removes content from users on the Sheith Feed Mute List. Please contact ElfGrove with problems or needed adjustments.",2026-01-08 16:21:33.739,elfgrove.bsky.social,749,104,7
🐾 Literature,"Furry
A feed for talking about and showing off furry literature. Use #FurFic, #FurLit or #FurryWriting to include a post in the feed. 

Join the furry feeds by following @furryli.st",2026-01-10 13:29:59.129,furryli.st,67376,102,6
Popular en Español,"Posts populares en las últimas horas. Similar al ""What's Hot Classic"", pero con contenido en Español.

Puede incluir contenido explícito que no esté debidamente etiquetado. Usa #NoFeed para excluir tus publicaciones.",2026-01-11 09:03:59.630,fran.pw,2214,101,5
