did,beta_merit,n_posts_analyzed
did:plc:22fzjc7f5omrchkswmardlyj,2434.845294066369,5
did:plc:22g3mf3sm5z4lp7zfk6ncv32,1.7218174058994327,5917
did:plc:22gc24n3t57an6etset6jp5b,101.56303515921243,15
did:plc:22gdk2pnm672xw4ha7askfpe,19.096235170554483,22
did:plc:22ggikaclis4opquajbyyjeb,21.95431805795707,14
did:plc:22gi6mtrqe2wo7joz7yym7tp,21.29622232689732,6
did:plc:22gjpxiasuuhy4wozcntbu66,84.74749967328597,393
did:plc:22gl4rbpkgcoxytuhphhqofi,14.413233798692007,1257
did:plc:22gne4g6es4jxfqj7sjgydb5,78.88272481208054,6
did:plc:22gvahvnw2gk3eru5ildy4dj,24.73049772121296,3
did:plc:22h4ielakn7mno47fpsfyl2l,19.68063498777253,515
did:plc:22hcjldbsvymwkm4adwl2p2c,0.7879021877904859,430
did:plc:22hvhyrsb6vbo2zvfs52x4md,21.465395803640465,1
did:plc:22i2fvqplhq7o6uo7x5fxfqu,34.940516102878476,2
did:plc:22ih6he54h53rs3kpqfgoo34,129.39985828340153,44
did:plc:22ipltqzpomimzjfgwj44hxh,1.6552384185588433,281
did:plc:22j7q6b4gz65po3hoe7reiiu,17.170416439085535,13
did:plc:22jbnl3v2udic7kohn4q5kuj,51.08458746422968,2
did:plc:22jcflnbnkynvzv6x3hs3x5j,22.22787758450742,4
did:plc:22jid3pdnwmtigyrdi4gzws2,144.35048998822424,4
did:plc:22jk6fbbgwlrwmfiqufttb6s,48.8439489979215,114
did:plc:22jsoxbateodhl45q56ulhdr,275.51540785633443,30
did:plc:22jx25x7aznjdy54qf63u22g,8.072650926024142,13
did:plc:22k3vnxgkkvlumxqc66icw45,108.86411754370289,2
did:plc:22k3yqgm6pgh7635jspc66b2,8.482019367490155,3
did:plc:22knb4opbuje2aezmqnr3ghg,1994.6317570660187,12
did:plc:22ku4oi5iwbghoenbmdcaljy,24.332676952140616,332
did:plc:22kwtg54jiugzt7qlhe4p6jy,0.6724996984203798,292
did:plc:22l6k5jy75j2v6kxk63kduc7,1.4918537903068354,265
did:plc:22lamsz3qq45pe4t3hg3khac,0.769045921734946,148
did:plc:22lskm3yq2efjhkanfdo346h,0.05937056185706139,2876
did:plc:22ltzatytb5tmr3tewf7wbeb,103.44238601380489,12
did:plc:22lwuulveg7nf7dtyss2cyph,17.664496131599737,12
did:plc:22lwxen5ifajkvd2gnnpqk36,0.4973113808162426,532
did:plc:22m4kc2r5hfwx3r22fowd3ld,39.09778056242313,19
