did,followers_count,valid_post_count,total_likes,total_reposts,total_replies,mean_X,avg_jump_size,lambda,duration_days,post_count
did:plc:ymdbfsuccdr6uhtin7lgu6ad,139,331,148,48,9,6.46536662791681,1.6193353474320242,2.192098741941146,179.3453974652787,564
did:plc:vweikiqhqe3474f2i3a5dbqt,10625,1922,65692,11654,1841,783.7426225671192,42.200312174817896,12.790128877545564,179.76354800925762,2324
did:plc:zylqq2vf65jkne3ragngpih6,259,1067,415,42,684,21.64649738903216,2.069353327085286,7.139259452675866,179.4289090740736,1303
did:plc:2psciqwnhmp3iual4me47ofh,346,49,337,19,6,4.538938848300704,8.387755102040817,0.3280750007789482,179.34019961805532,172
did:plc:eklz72wsn72tts77cmbxxaeo,22792,2820,106570,7344,6112,1192.298069614629,43.56241134751773,18.80004852907588,179.9352158796318,3668
did:plc:zvakzqnngxdeslcy26qpwiiy,480,318,457,30,112,13.288816089653603,2.8836477987421385,2.115238664845913,179.60154340277944,974
did:plc:rc2neeu2lty557q6ma2jgq6w,322,418,570,72,139,42.06481650348629,2.8684210526315788,2.7864406678381926,179.98955495370484,4263
did:plc:y7nbbmccjjzcvt5zzjwm2dgw,537,311,461,82,81,17.23512299063622,3.0064308681672025,2.067470960877323,179.94001216435322,1413
did:plc:bbgwe25ftkpxnyjusmlvjvnt,262,306,456,7,76,8.275227747499446,2.761437908496732,2.0469043625645544,179.47006175925887,380
did:plc:uh3mmpbiphyjafh5b6lbz7om,270,1046,1891,242,543,46.7807061484732,3.5583173996175907,6.971362554421209,179.35309771990612,2719
did:plc:hn5x72xauryfgw5267qbsemo,1887,1975,2235,36,483,52.48382953294279,2.3944303797468356,13.237219880157157,179.19867642361257,3542
did:plc:2676hcie2jjbgethnplb6qgn,569,455,1227,40,136,22.77388925137803,4.083516483516483,2.994057184227019,179.95765972222168,1092
did:plc:jifnxbotkmbuanp3yxrisylv,2739,2869,6076,442,1153,104.41320907550013,3.673753921226908,19.19716432433911,179.36559659722226,3825
did:plc:eti2idwzssw6brqieptbzit2,92,239,126,2,52,4.346529536976448,1.7531380753138075,1.59562093912304,179.77928513888685,320
did:plc:qzzyqwsoa25ifvxyxi2fw3e3,696,728,7949,375,272,95.01583308861183,12.807692307692308,4.833073083137423,179.94947737268552,1104
did:plc:inmxj7ec7aab6zpds237aglk,119,1407,37,7,10,13.989224400921481,1.0383795309168444,9.327717178614687,179.98301796296406,1610
did:plc:uf62vromke5xl6oqedvzkz6o,486,1608,302,75,63,19.74808660744473,1.2736318407960199,10.720454093950309,179.9713419560205,1877
did:plc:j6rjmsn4spqdie576cx66kgs,28,3306,88,10,0,32.72778774245155,1.029643073200242,22.04114279073602,179.98594035879606,3944
did:plc:x3rshb7zvrs6nty7gvk2wbyq,665,1052,3601,141,432,50.02624047656103,4.967680608365019,7.012901973304283,179.8437618981495,1244
did:plc:hxugai4ri4ubatf2ikisp4rm,241,137,938,216,142,19.6901537424552,10.459854014598541,0.9135667334912332,179.40215907407304,897
did:plc:qanhcndmsddz65xdxe5wkxg3,1593,330,396,50,37,21.30276180711144,2.463636363636364,2.2024332729213327,179.175454189816,2079
did:plc:bwantltsndkzknrxl53nsed6,1453,1027,1658,217,157,41.07728150996335,2.9785783836416746,6.841782314576871,179.96689878472299,2468
did:plc:fapbldhxqfaimiowkkx4ognp,205,418,632,45,183,13.24560519901595,3.0574162679425836,2.7835913094539104,178.1362146296297,595
did:plc:hd44snb4vhqtvpyejjerdjzi,2037,1058,3452,893,339,64.88223975609633,5.427221172022684,7.052180962887799,179.98325396990887,2395
did:plc:ddhf46u4uzg2uqyqvpso7n2k,68,59,40,0,12,1.0744627912434237,1.88135593220339,0.3983154468687747,177.99291833333396,67
did:plc:pp6jdshrc65vr5kkueenufnk,475,454,1273,112,172,20.12628574435155,4.429515418502203,3.017421680346407,179.80622622685024,636
did:plc:vocalyrrk725tg6pfcnlqqdd,125,202,265,24,26,34.9767129185934,2.5594059405940595,1.3462421892330274,179.94677618055707,4035
did:plc:kmzy72dwclk7msh2fg7h6lyg,86,88,70,4,22,5.938052883094364,2.090909090909091,0.5874275994836515,179.7971153935183,644
did:plc:agoynz47kys7jiggeex46irj,143,2100,2302,73,817,52.690755383313444,2.52,14.003022587000977,179.96667777777546,2735
did:plc:6lvart2n7nkwrorxfo45oqvy,1487,737,958,44,71,24.041269454925903,2.4559023066485755,4.905502151091265,179.36398662037044,1844
did:plc:hdxriz4r4s26v7jl65figxu5,60,98,51,6,7,1.7208811766661882,1.653061224489796,0.6418721295187609,177.82043456018522,139
did:plc:kkgepagyddmnokx6z6lmh5eg,129,203,991,1098,47,39.85059896517178,11.52216748768473,1.3546627695853584,179.84507106481328,2333
did:plc:k7hv54evfnjmupsh3snwqjsj,464,323,791,37,219,14.480411858115245,4.241486068111455,2.160671322419436,179.3778801273168,627
did:plc:b74qlc4srp7nzubq2m27iopd,1283,403,1091,22,152,16.726291418126653,4.138957816377172,2.68658315725575,179.91230378472417,531
did:plc:2743xz2rsuljdmqyqdzvojyx,351,498,945,8,416,17.064145544323747,3.748995983935743,3.2820576562257124,179.84110582175907,574
did:plc:wx4owsgsylegmcctbseohdi7,142,103,272,17,20,7.375067383014081,4.0,0.6833449910451532,179.85034894675843,556
did:plc:tuvmfu4raviufio7wwvmmqxg,762,1196,8453,879,553,107.35412485224155,9.26505016722408,7.976810415145324,179.88154113425978,1640
did:plc:wesnugh2lq6x36yu5ymqxyeb,2492,1314,2575,798,848,53.22257640595198,4.212328767123288,8.760023422247777,179.9906880902775,1565
did:plc:4qvtbvcvshyv2zc4hu5hltkk,668,222,920,125,122,11.884284367041534,6.256756756756757,1.4827523876075714,179.14437672453622,310
did:plc:rss7gt7w3gyleik3fdsendry,3530,2791,4534,233,1132,88.58194456644034,3.113579362235758,18.608432958734138,179.97901679398285,3965
did:plc:d3lrs7wmewsx4ypp6hovgejo,532,2209,6138,1662,1959,120.29593743448592,5.417836124943413,14.738266629801775,179.82433040509346,3178
did:plc:gdxebylk26jquwzgawprwzda,1327,156,746,53,61,19.256527100936264,6.512820512820513,1.039116860032821,179.9390398726833,1414
did:plc:4l3ceybwfy4p74564k2khaxy,246,47,89,0,10,3.4882900289165084,3.106382978723404,0.3154058526576576,178.86016724536816,358
did:plc:lmxyx3k4oggdpuzcorw4aqfr,48,61,19,2,0,0.807735313613584,1.3442622950819672,0.4063314980794025,179.0704912037016,78
did:plc:rfqzlkycim5yae7pu2m56nus,5688,94,146,20,14,4.0696566564712136,2.9148936170212765,0.6330078399449698,178.4145594907414,369
did:plc:lmfgt3d5ail5msy6fb25vucz,2681,364,555,80,33,39.057482928073114,2.8351648351648353,2.4263599373267435,179.80128752314934,3864
did:plc:jo4rnoovyozuuojegobqy46w,280,435,807,20,194,14.604454755840317,3.3471264367816094,2.88195366822065,179.90765660879512,627
did:plc:7d2jhzmu256u3wkqyklv6rgr,183,1897,294,52,23,21.78005123907915,1.1945176594623088,12.646515959423974,179.9500225231493,2277
did:plc:pjo7j3sll2djrtkacdymerya,407,350,774,186,139,16.69009378061862,4.14,2.3378750259151406,179.6148072569431,721
did:plc:25alqpi6ra2svoyghojxyuir,17170,2591,297076,62322,13116,3543.6619471215945,144.77228869162485,17.261293258967836,179.3288349537027,3023
did:plc:rqjnc6j3dmfpcjr4cksx2wzf,799,3597,9437,1244,110,137.02005750149948,4.0,23.98265649927376,179.9448953124991,4316
did:plc:ke4l2hczxjgizomhetd6ka7s,133,233,621,7,61,10.281119411125346,3.9570815450643777,1.546715081995772,179.9470838541648,513
did:plc:qn5jrlf6xyttybljrovcrk3j,1092,16,528,128,23,5.672285039197745,43.4375,0.10536884247948342,179.24620651620407,41
did:plc:qf7f4kndvasmfsskzkz6ae4z,601,3119,4371,286,310,77.71360575874036,2.5924975953831355,20.79657870362693,179.94915563657327,3737
did:plc:xpfv236ro5zudn5zsur2j5bn,1120,70,161,9,25,13.92104426712521,3.7857142857142856,0.4666180984194619,179.8956162962952,1459
did:plc:itdyxj3reqamdjurxgroy5fq,128,895,2545,72,188,37.01208147954179,4.134078212290503,5.963464683236017,179.98738021990766,1249
did:plc:oleuxdp6zsmbj2oigx6r7goh,11,1418,75,6,5,14.45977307967346,1.0606488011283497,9.444500722573741,179.87759664351742,1717
did:plc:yvvg4vffk4svbim4yvbrv73r,1117,1792,5671,223,1019,84.28965029306491,4.857700892857143,11.93872202843242,179.92289752314764,2162
did:plc:a2zayq4jv5xbuhwcysooxkey,501,479,783,62,51,13.343287224399418,2.8705636743215033,3.1884793051185154,179.75695189814877,607
did:plc:4irdoaigcjiaqyofmoo37c5v,4481,595,2608,93,110,41.061106346575414,5.72436974789916,3.9689115366242858,179.8875376041675,1680
did:plc:mtz2vuovmmrytdivy4z4po74,147,342,791,7,45,11.164852012578361,3.4649122807017543,2.2676706362563057,179.88790333333114,399
did:plc:trmxsueo3lg3sk5kwabhyclq,406,224,365,14,118,7.0495659655614755,3.21875,1.4596099629149937,179.93381307870425,338
did:plc:ywvvxakeqcsyej4zsedbwglg,7510,1522,5148,780,416,85.31677615718192,5.16819973718791,10.137728687324525,179.90972861110887,3052
did:plc:i666vcgdfp3z25dybym4doop,9147,2391,4034,223,156,65.53386127693477,2.8456712672521958,15.940738545732902,179.98604343749858,3099
did:plc:u5rlvu5qcs6okqd3o42kn3fm,1148,1512,10758,2052,766,148.88178223358554,9.97883597883598,10.073696828820058,179.95670076389004,2247
did:plc:eye7pid3o3pby3s53ru6w7kn,396,1658,2916,124,325,51.36604556685761,3.029553679131484,11.087838463334332,179.52912320601996,2245
did:plc:fzr7hrgbtllwkdadsvgch72f,2405,1978,8177,566,526,115.04287060593487,5.686046511627907,13.182383053327904,179.96936390046167,3287
did:plc:2rb2elyhkg6qlcsemupfrbon,599,142,226,11,13,10.487929015547044,2.76056338028169,0.9511905460780846,179.19622811342555,1041
did:plc:esq7ebu4fp3b6fmmhjq6znbm,765,1830,3168,200,370,54.82831715786272,3.042622950819672,12.154126102280406,179.92322510416585,2239
did:plc:oqoksnyukzbase3uttllntwk,1292,268,1524,106,151,20.305130092152705,7.645522388059701,1.808529619531263,178.02902603009233,422
did:plc:pg5e3qumwwk2m6ijphhbmpm6,4093,250,20901,6826,1368,282.69125889920326,117.38,1.6511007551749763,179.97937208333227,301
did:plc:ilj2kkgtnm4eny3psdhoql6h,1978,2855,3126,317,880,68.81012108905506,2.514185639229422,18.99902360644751,179.98584782407517,3800
did:plc:mbd67qvroqfsl2iryyllpuxt,451,365,834,44,156,14.240832803945628,3.8328767123287673,2.4334580390450173,179.8301902546292,521
did:plc:xvzdix4nwmah5cgao2yk4ppb,190,3118,5044,149,2177,100.8617497556182,3.363694676074407,20.788939103033705,179.9612412268503,3382
did:plc:u2jcca3kgkcmaf5hyow773oz,2932,129,202,20,15,3.7409989889388413,2.8372093023255816,0.8257781326381157,178.05489984953846,196
did:plc:gvwszvawnlkmjc63kkh4q5dt,179,427,307,32,89,11.595404772055117,2.002341920374707,2.845758473152017,179.94119033564849,970
did:plc:6ruqm4eekifjoegyezjorhw7,234,390,3931,2,408,45.7961751399214,12.13076923076923,2.615784167040952,179.01729927083133,499
did:plc:onowud3fpg7o57ghiqm3hwgr,413,324,340,8,131,11.938029214459409,2.478395061728395,2.14829203302923,179.9563500925926,936
did:plc:bdxc2ubpcn3gsdirefaxqbnc,2175,80,802,175,59,15.399825237089283,13.95,0.5355508963681297,179.20525876157538,670
did:plc:333y3bmxxd4223xstupzam75,192,57,811,49,37,8.810602293507781,16.736842105263158,0.3628124850953985,178.07347273148045,78
did:plc:dxobbl5x3kdrmifurmhnu3jz,1800,960,59456,18550,1426,776.3211062422847,83.74166666666666,6.406378527093071,179.6654414814821,3111
did:plc:fpqlvovtzshwtynf6mxlehlw,329,743,2843,19,292,45.01457167956864,5.244952893674293,4.957932984887161,179.85907810185242,1800
did:plc:av5lmedriil6qr26d4y5hudw,947,750,2646,145,168,39.029142751265034,4.945333333333333,4.989650499658965,179.92892759259377,1257
did:plc:b5gqpvnzby7dpzmxjmeehev6,739,480,448,4,80,9.20739170909112,2.1083333333333334,3.1971557281151224,179.91079458333277,695
did:plc:qho7jz7hymx35odbsjww7flr,282,2799,4719,252,776,82.05535660173898,3.053233297606288,18.653596096678505,179.98966378472193,3321
did:plc:ajzzsryjuq2qtyx4qh6lwho6,925,465,12626,5126,843,181.3044211976683,40.98924731182796,3.1033303216939787,179.749598946759,541
did:plc:brhdvrifyegtvhdh2vosy75p,878,1294,6285,1142,732,108.34149276317041,7.305255023183926,8.635108051799362,179.56658038194533,3531
did:plc:7q7yrzelfy3hef67kdigilvw,2156,2702,8753,1526,2506,155.01798088748433,5.7316802368615845,17.980679736332277,179.97918576389,4044
did:plc:b3lqwwuapczr5acokwq4tiuf,827,1347,957,400,84,43.17201630054421,2.0697847067557533,8.983332948223822,179.94158043981702,3982
did:plc:xoj64oi6gs47m3el2mqaerr7,1115,436,864,84,123,27.475459833289786,3.456422018348624,2.895240751621364,179.98148318287124,2445
