date,group,mean_X,std_X,event_count
2025-09-06,INFLUENCER,2835.674219101362,4765.036119866021,197
2025-09-06,WANNABE,98.15900528454783,176.34129124135615,5449
2025-09-07,INFLUENCER,1345.857560153397,2277.993438741353,1393
2025-09-07,WANNABE,99.3961680143201,225.66338100446862,53379
2025-09-08,INFLUENCER,1442.1881644440361,2491.6504181466025,1527
2025-09-08,WANNABE,93.6109299520333,204.84927871276804,62537
2025-09-09,INFLUENCER,1406.1795756782242,2788.840813968998,1526
2025-09-09,WANNABE,95.54699103799564,232.66301278072953,67165
2025-09-10,INFLUENCER,1424.1186622860685,2508.2559577172547,1777
2025-09-10,WANNABE,98.08523796879177,247.83642603331512,80818
2025-09-11,INFLUENCER,1767.0620043775807,3289.5784399154063,1811
2025-09-11,WANNABE,114.11023254870996,285.062168615189,87174
2025-09-12,INFLUENCER,2287.359597129653,5177.012252150691,1755
2025-09-12,WANNABE,119.16455670367588,338.78105096468175,82292
2025-09-13,INFLUENCER,2589.900456050462,6529.398094420047,1573
2025-09-13,WANNABE,107.40775368134237,237.95621789393334,72732
2025-09-14,INFLUENCER,2102.4327328359527,4141.535224963177,1436
2025-09-14,WANNABE,103.07113734000426,224.17614768179,72162
2025-09-15,INFLUENCER,1765.676941943371,3422.6142886021757,1760
2025-09-15,WANNABE,100.01546325062446,219.2026102925584,70121
2025-09-16,INFLUENCER,1885.3888568826576,3243.2936427432887,1741
2025-09-16,WANNABE,92.26965778523466,186.62435078290315,74012
2025-09-17,INFLUENCER,1830.444745162509,2907.3873660921845,1744
2025-09-17,WANNABE,93.85355194361834,204.2693617367065,74624
2025-09-18,INFLUENCER,2591.748569772101,5015.428988273036,2209
2025-09-18,WANNABE,108.5807563999439,248.5299737305405,91182
2025-09-19,INFLUENCER,2403.2703446983046,4853.06651383676,1923
2025-09-19,WANNABE,97.16689380069879,191.21690295984823,78463
2025-09-20,INFLUENCER,2333.8375716163396,3792.949921971586,1629
2025-09-20,WANNABE,100.36845579659027,226.58928377642562,74180
2025-09-21,INFLUENCER,1887.8682993644227,3376.3005559507824,1566
2025-09-21,WANNABE,99.5011163509515,226.3321337534657,72654
2025-09-22,INFLUENCER,1500.1111960433932,2695.660821901411,1874
2025-09-22,WANNABE,96.18552122146026,252.93680968667772,75923
2025-09-23,INFLUENCER,2334.998409553079,4647.3800169384085,2155
2025-09-23,WANNABE,98.20768374776216,242.06863128898968,80593
2025-09-24,INFLUENCER,1869.8144722940374,3093.4761131468777,1888
2025-09-24,WANNABE,97.14205514405553,213.18370519713795,73678
2025-09-25,INFLUENCER,1552.5506361393852,2234.820996552121,1827
2025-09-25,WANNABE,94.27540944309185,193.4843583405643,73151
2025-09-26,INFLUENCER,1433.1991344721212,2258.151385526353,2232
2025-09-26,WANNABE,92.47623656183698,189.35352923025908,75819
2025-09-27,INFLUENCER,1716.6239152343612,2408.053200327882,1746
2025-09-27,WANNABE,100.45974822546177,408.57126862220207,69845
2025-09-28,INFLUENCER,1762.3820038629308,2606.628168794148,1677
2025-09-28,WANNABE,101.7489074407571,350.57822804347774,71252
2025-09-29,INFLUENCER,1662.8355399381114,2629.2879180843383,2056
2025-09-29,WANNABE,90.86922612509369,211.99995435217056,74070
2025-09-30,INFLUENCER,1695.7456122879819,2558.458796923251,2241
2025-09-30,WANNABE,92.50123362370714,199.90006468634616,82210
2025-10-01,INFLUENCER,1678.6629637478677,2624.5135389158017,2344
2025-10-01,WANNABE,91.20955246142348,173.91442999854942,85476
2025-10-02,INFLUENCER,1404.1202606882032,1973.3559012817768,1871
2025-10-02,WANNABE,96.67926956715742,199.18509420314263,79547
2025-10-03,INFLUENCER,1392.68829704793,1838.8619845328521,2183
2025-10-03,WANNABE,97.07402755947071,197.17692539567238,80522
2025-10-04,INFLUENCER,1413.2154415327436,1942.4666780588677,1931
2025-10-04,WANNABE,93.16726154922132,184.1867422759591,75167
2025-10-05,INFLUENCER,1654.1961777851634,3489.2534620816264,1754
2025-10-05,WANNABE,93.5839511436399,189.13329907853887,74215
2025-10-06,INFLUENCER,1356.1312567390012,1936.8131584105438,2429
2025-10-06,WANNABE,94.47426629504686,180.26958497137812,78276
2025-10-07,INFLUENCER,1218.105239886427,1923.4459684886283,2201
2025-10-07,WANNABE,95.27277027506156,172.187996811531,79598
2025-10-08,INFLUENCER,1351.0791832635014,1947.3881370580277,2278
2025-10-08,WANNABE,96.06632173070402,191.4437709751541,82157
2025-10-09,INFLUENCER,1258.2780189914572,1771.118523074811,2320
2025-10-09,WANNABE,99.27392650209542,202.4224983308544,81399
2025-10-10,INFLUENCER,1305.61815449551,2101.989752641268,2664
2025-10-10,WANNABE,98.1055263509386,198.0661382813038,85383
2025-10-11,INFLUENCER,1527.1691261575559,2104.21298526633,2064
2025-10-11,WANNABE,98.25636884018621,201.20658757831384,77646
2025-10-12,INFLUENCER,1375.8757744605189,1835.1204259889428,1775
2025-10-12,WANNABE,99.21961690399515,258.1217217917865,73025
2025-10-13,INFLUENCER,1527.9578297203548,2299.1507327977224,1883
2025-10-13,WANNABE,91.9202175136736,176.1073438962202,75810
2025-10-14,INFLUENCER,1229.5841215007285,1752.7927307502098,2281
2025-10-14,WANNABE,96.00955001354451,224.83646277988024,77745
2025-10-15,INFLUENCER,1618.456394515645,2435.925618967151,2203
2025-10-15,WANNABE,96.3708262457951,231.285157464101,80646
2025-10-16,INFLUENCER,1520.8294055061322,2840.7871073255205,2717
2025-10-16,WANNABE,97.91218911902621,229.35044544857513,81941
2025-10-17,INFLUENCER,1457.1286633258642,2379.962789302636,2633
2025-10-17,WANNABE,99.86619944346438,198.902679292487,81554
2025-10-18,INFLUENCER,1408.2402501546273,2199.9603377908934,2808
2025-10-18,WANNABE,109.10951516208034,259.6397978428691,93961
2025-10-19,INFLUENCER,1529.516996022586,2285.306992127942,2242
2025-10-19,WANNABE,112.31102745406254,267.9568613147761,89457
2025-10-20,INFLUENCER,1520.8614747216811,2367.343871603333,2788
2025-10-20,WANNABE,105.47673704443426,237.84880066318874,85218
2025-10-21,INFLUENCER,1707.7140761010342,2769.3354613496244,2861
2025-10-21,WANNABE,114.81022683350551,252.8423067997799,88355
2025-10-22,INFLUENCER,1506.5693227959869,2168.7490554505093,2460
2025-10-22,WANNABE,112.33718781050706,285.6992527848403,89285
2025-10-23,INFLUENCER,1378.6175537277697,2212.998446119072,2759
2025-10-23,WANNABE,108.51315268960717,244.39056650975868,90517
2025-10-24,INFLUENCER,1290.852395422776,1957.6169198151265,2281
2025-10-24,WANNABE,114.64563635931209,329.3350076671469,85912
2025-10-25,INFLUENCER,1234.5816370624023,1713.3600075633735,2032
2025-10-25,WANNABE,111.94149417490317,299.8922199981473,81318
2025-10-26,INFLUENCER,1267.3025909552678,1806.7938698439718,1880
2025-10-26,WANNABE,108.60276991143226,251.28895976289965,79339
2025-10-27,INFLUENCER,1027.0136722917798,1817.88337387817,2425
2025-10-27,WANNABE,94.07691763070349,187.27817101971442,81820
2025-10-28,INFLUENCER,1545.7931938048264,3288.015378518152,2762
2025-10-28,WANNABE,104.18832601434957,207.4696056251501,90254
2025-10-29,INFLUENCER,1276.686445059723,2154.8380757075934,2554
2025-10-29,WANNABE,105.22904091775916,218.79077836341673,86282
2025-10-30,INFLUENCER,2001.941711773382,5582.596264368184,2545
2025-10-30,WANNABE,103.15810625392788,193.96576174526842,86511
2025-10-31,INFLUENCER,1517.2961699120042,3081.703456799859,2817
2025-10-31,WANNABE,104.57850097470318,203.37494174469163,86968
2025-11-01,INFLUENCER,2026.957239032164,5052.839003039287,2377
2025-11-01,WANNABE,104.4392316209951,199.91135735901378,79396
2025-11-02,INFLUENCER,1661.9515784604991,3170.0504755714855,2150
2025-11-02,WANNABE,109.16399044452571,215.40547775848026,80598
2025-11-03,INFLUENCER,1391.7260503953198,2499.1265336482434,2458
2025-11-03,WANNABE,102.9721543201693,192.93334912336707,83472
2025-11-04,INFLUENCER,1733.946747782308,2929.6688074161075,2860
2025-11-04,WANNABE,112.60345016722333,254.04010314263917,91589
2025-11-05,INFLUENCER,2298.822264246675,4973.340210526782,3851
2025-11-05,WANNABE,126.80706731061615,322.74475922682603,116185
2025-11-06,INFLUENCER,2210.366215556583,4802.214545482866,2909
2025-11-06,WANNABE,130.3740519698368,449.1955092515654,96192
2025-11-07,INFLUENCER,1648.9122065185961,2483.3739809741005,2836
2025-11-07,WANNABE,117.83911111267865,335.79344531331674,94790
2025-11-08,INFLUENCER,1425.8611517456484,2266.8543226972647,2700
2025-11-08,WANNABE,117.2729877787872,335.5483609867385,86606
2025-11-09,INFLUENCER,1421.242747143772,2740.800717387826,2781
2025-11-09,WANNABE,113.52634054612295,293.003111437725,89243
2025-11-10,INFLUENCER,1905.3301686411637,4135.41986870839,2986
2025-11-10,WANNABE,126.56514004802555,444.60694800075544,106938
2025-11-11,INFLUENCER,1759.5402532692347,3650.5270421491596,2874
2025-11-11,WANNABE,111.44358933083832,209.1523937062053,89923
2025-11-12,INFLUENCER,1636.5592930565072,3659.481324983519,3042
2025-11-12,WANNABE,116.01702111423873,241.12163464177934,95440
2025-11-13,INFLUENCER,1677.5581681356814,2999.101008614685,3210
2025-11-13,WANNABE,124.25649153295124,386.71206753154377,95319
2025-11-14,INFLUENCER,1617.8041956062818,3313.611631432374,2966
2025-11-14,WANNABE,113.1973584284551,240.26316408732663,92891
2025-11-15,INFLUENCER,1797.7223651938768,3808.632462395402,2602
2025-11-15,WANNABE,115.57582080348227,280.8433632099536,86622
2025-11-16,INFLUENCER,1376.3262333774999,2824.39005577924,2472
2025-11-16,WANNABE,112.48611050440337,264.10589405363544,82293
2025-11-17,INFLUENCER,1476.5400940905402,3466.3972376880647,3065
2025-11-17,WANNABE,106.79659203388279,222.73192127859775,87742
2025-11-18,INFLUENCER,1885.4431452302788,3998.589323857204,3446
2025-11-18,WANNABE,106.85108158880713,219.5124754454651,96507
2025-11-19,INFLUENCER,1581.697979707956,3257.7890189413033,3226
2025-11-19,WANNABE,108.49019923899115,223.50357143509024,94510
2025-11-20,INFLUENCER,1716.2800325180817,3746.0589762641025,3496
2025-11-20,WANNABE,110.37643387785145,258.94630638941203,98490
2025-11-21,INFLUENCER,1827.317407540242,3801.7292774529074,3209
2025-11-21,WANNABE,109.36458186150901,216.68816244079238,96608
2025-11-22,INFLUENCER,1638.081193403101,3751.170725349462,2574
2025-11-22,WANNABE,114.90018220636148,230.62174627852104,88852
2025-11-23,INFLUENCER,1258.1641411128733,2142.179986205504,2537
2025-11-23,WANNABE,115.5008520771646,311.88503909046057,86775
2025-11-24,INFLUENCER,1374.2659316639558,2945.720792867917,3168
2025-11-24,WANNABE,105.8587339936584,221.91895820937035,88600
2025-11-25,INFLUENCER,1704.6433826186985,3250.199258904851,3173
2025-11-25,WANNABE,106.42506628695932,215.67433366847126,91937
2025-11-26,INFLUENCER,1812.562553748266,3386.8734843517136,3182
2025-11-26,WANNABE,114.5909427680984,241.68939805892384,93274
2025-11-27,INFLUENCER,1845.6926289087633,4646.7318548304365,2709
2025-11-27,WANNABE,113.73877135316506,232.7108159408024,85575
2025-11-28,INFLUENCER,1930.561278756312,4471.888163593281,2880
2025-11-28,WANNABE,111.48543435088705,233.87114322838548,85618
2025-11-29,INFLUENCER,1531.2806871675416,2817.090434072288,2683
2025-11-29,WANNABE,108.02816729319629,204.51302141434684,89408
2025-11-30,INFLUENCER,1927.2913908565497,3653.4807629390357,2857
2025-11-30,WANNABE,119.09632002341891,322.4848977958726,88727
2025-12-01,INFLUENCER,1864.6933128732908,4028.528507908003,3223
2025-12-01,WANNABE,117.87239106483194,319.57239276030236,87687
2025-12-02,INFLUENCER,1913.1039195637907,4095.4266941222054,3878
2025-12-02,WANNABE,114.90994312325455,281.53548730492406,98700
2025-12-03,INFLUENCER,1672.5938128949942,3686.0466405413495,3883
2025-12-03,WANNABE,122.80242460326994,315.3376843749573,99171
2025-12-04,INFLUENCER,1848.0876921438107,4040.1616536328715,3750
2025-12-04,WANNABE,120.7516356513098,253.4121668038825,97756
2025-12-05,INFLUENCER,1912.0461753054592,3765.62648479173,4064
2025-12-05,WANNABE,124.35850633329856,247.50237085174206,102966
2025-12-06,INFLUENCER,1618.5225291956986,3125.7064909285878,3575
2025-12-06,WANNABE,120.36503978881197,241.61604483696678,92718
2025-12-07,INFLUENCER,1450.7024640764032,2512.5827292125587,3052
2025-12-07,WANNABE,124.04030887544928,249.48386313416373,91311
2025-12-08,INFLUENCER,1616.5771859157553,2635.3552891730224,3788
2025-12-08,WANNABE,121.67034929973214,256.8537520900707,93058
2025-12-09,INFLUENCER,1863.102171469787,3296.6888283708536,4111
2025-12-09,WANNABE,118.47141146021923,270.662955188839,97497
2025-12-10,INFLUENCER,1750.7697556817313,3529.684099572239,4486
2025-12-10,WANNABE,121.77291375575246,274.72749494139384,102714
2025-12-11,INFLUENCER,1805.632014061412,3285.836932063043,4384
2025-12-11,WANNABE,117.99695024967248,264.8065824476509,103785
2025-12-12,INFLUENCER,1710.1913571213422,2986.640598683575,4187
2025-12-12,WANNABE,125.19641834038991,246.6135557522473,102217
2025-12-13,INFLUENCER,1594.0054206794046,2885.973062642565,3594
2025-12-13,WANNABE,122.92233489455546,268.74226803357215,92273
2025-12-14,INFLUENCER,1774.105671296542,3226.723496905119,3572
2025-12-14,WANNABE,118.71297342298499,248.2740711301248,92890
2025-12-15,INFLUENCER,2047.996606710625,6168.028109852561,4476
